name k time
../data/synthetic/polytime_cost/all_k/random_split_75_7_k50.txt 42.0 1164
../data/synthetic/polytime_cost/all_k/random_split_75_7_k55.txt 34.0 1073
../data/synthetic/polytime_cost/all_k/random_split_50_5_k50.txt 40.0 482
../data/synthetic/polytime_cost/all_k/random_split_100_1_k60.txt 38.0 1336
../data/synthetic/polytime_cost/all_k/random_split_75_8_k50.txt 37.0 820
../data/synthetic/polytime_cost/all_k/random_split_25_4_k75.txt 22.0 111
../data/synthetic/polytime_cost/all_k/random_split_25_6_k10.txt 7.0 113
../data/synthetic/polytime_cost/all_k/random_split_75_2_k10.txt 8.0 919
../data/synthetic/polytime_cost/all_k/random_split_75_4_k55.txt 28.0 1042
../data/synthetic/polytime_cost/all_k/random_split_100_3_k60.txt 41.0 1392
../data/synthetic/polytime_cost/all_k/random_split_25_6_k55.txt 24.0 108
../data/synthetic/polytime_cost/all_k/random_split_50_5_k70.txt 49.0 515
../data/synthetic/polytime_cost/all_k/random_split_50_7_k60.txt 31.0 513
../data/synthetic/polytime_cost/all_k/random_split_100_2_k55.txt 22.0 1543
../data/synthetic/polytime_cost/all_k/random_split_75_5_k95.txt 64.0 1065
../data/synthetic/polytime_cost/all_k/random_split_100_8_k60.txt 44.0 1245
../data/synthetic/polytime_cost/all_k/random_split_25_2_k25.txt 11.0 103
../data/synthetic/polytime_cost/all_k/random_split_50_6_k65.txt 38.0 321
../data/synthetic/polytime_cost/all_k/random_split_75_8_k100.txt 71.0 972
../data/synthetic/polytime_cost/all_k/random_split_25_3_k55.txt 20.0 97
../data/synthetic/polytime_cost/all_k/random_split_100_3_k100.txt 56.0 1165
../data/synthetic/polytime_cost/all_k/random_split_50_7_k10.txt 7.0 547
../data/synthetic/polytime_cost/all_k/random_split_100_2_k5.txt 2.0 1368
../data/synthetic/polytime_cost/all_k/random_split_75_2_k5.txt 5.0 1092
../data/synthetic/polytime_cost/all_k/random_split_50_6_k100.txt 48.0 352
../data/synthetic/polytime_cost/all_k/random_split_75_1_k20.txt 16.0 1199
../data/synthetic/polytime_cost/all_k/random_split_75_6_k45.txt 31.0 1194
../data/synthetic/polytime_cost/all_k/random_split_100_5_k85.txt 49.0 1452
../data/synthetic/polytime_cost/all_k/random_split_100_2_k30.txt 13.0 1296
../data/synthetic/polytime_cost/all_k/random_split_25_7_k30.txt 16.0 74
../data/synthetic/polytime_cost/all_k/random_split_100_8_k40.txt 22.0 1564
../data/synthetic/polytime_cost/all_k/random_split_25_6_k50.txt 21.0 86
../data/synthetic/polytime_cost/all_k/random_split_75_4_k45.txt 29.0 869
../data/synthetic/polytime_cost/all_k/random_split_75_3_k100.txt 49.0 969
../data/synthetic/polytime_cost/all_k/random_split_25_1_k70.txt 22.0 105
../data/synthetic/polytime_cost/all_k/random_split_50_1_k90.txt 65.0 449
../data/synthetic/polytime_cost/all_k/random_split_100_4_k75.txt 46.0 1704
../data/synthetic/polytime_cost/all_k/random_split_100_7_k100.txt 66.0 1415
../data/synthetic/polytime_cost/all_k/random_split_25_8_k15.txt 13.0 109
../data/synthetic/polytime_cost/all_k/random_split_100_4_k10.txt 4.0 1626
../data/synthetic/polytime_cost/all_k/random_split_25_5_k50.txt 28.0 110
../data/synthetic/polytime_cost/all_k/random_split_75_2_k35.txt 26.0 788
../data/synthetic/polytime_cost/all_k/random_split_100_5_k35.txt 17.0 1553
../data/synthetic/polytime_cost/all_k/random_split_25_8_k45.txt 27.0 99
../data/synthetic/polytime_cost/all_k/random_split_100_4_k90.txt 49.0 1661
../data/synthetic/polytime_cost/all_k/random_split_25_7_k100.txt 40.0 135
../data/synthetic/polytime_cost/all_k/random_split_50_7_k45.txt 31.0 486
../data/synthetic/polytime_cost/all_k/random_split_75_1_k55.txt 41.0 847
../data/synthetic/polytime_cost/all_k/random_split_75_7_k90.txt 57.0 830
../data/synthetic/polytime_cost/all_k/random_split_100_4_k50.txt 27.0 1299
../data/synthetic/polytime_cost/all_k/random_split_25_4_k85.txt 32.0 98
../data/synthetic/polytime_cost/all_k/random_split_100_7_k20.txt 15.0 1474
../data/synthetic/polytime_cost/all_k/random_split_100_7_k60.txt 39.0 1327
../data/synthetic/polytime_cost/all_k/random_split_25_4_k95.txt 29.0 102
../data/synthetic/polytime_cost/all_k/random_split_50_3_k95.txt 50.0 475
../data/synthetic/polytime_cost/all_k/random_split_25_2_k90.txt 16.0 103
../data/synthetic/polytime_cost/all_k/random_split_75_6_k25.txt 19.0 817
../data/synthetic/polytime_cost/all_k/random_split_75_4_k35.txt 17.0 987
../data/synthetic/polytime_cost/all_k/random_split_50_2_k90.txt 46.0 433
../data/synthetic/polytime_cost/all_k/random_split_25_4_k100.txt 30.0 117
../data/synthetic/polytime_cost/all_k/random_split_75_1_k35.txt 24.0 963
../data/synthetic/polytime_cost/all_k/random_split_100_1_k45.txt 28.0 1298
../data/synthetic/polytime_cost/all_k/random_split_100_1_k40.txt 25.0 1149
../data/synthetic/polytime_cost/all_k/random_split_100_7_k85.txt 54.0 1531
../data/synthetic/polytime_cost/all_k/random_split_75_8_k55.txt 42.0 1251
../data/synthetic/polytime_cost/all_k/random_split_100_2_k10.txt 7.0 1525
../data/synthetic/polytime_cost/all_k/random_split_25_5_k30.txt 25.0 107
../data/synthetic/polytime_cost/all_k/random_split_75_7_k100.txt 72.0 1241
../data/synthetic/polytime_cost/all_k/random_split_75_1_k15.txt 14.0 958
../data/synthetic/polytime_cost/all_k/random_split_100_1_k80.txt 47.0 1391
../data/synthetic/polytime_cost/all_k/random_split_50_3_k45.txt 24.0 396
../data/synthetic/polytime_cost/all_k/random_split_25_7_k95.txt 47.0 135
../data/synthetic/polytime_cost/all_k/random_split_25_7_k25.txt 17.0 122
../data/synthetic/polytime_cost/all_k/random_split_100_4_k60.txt 26.0 1339
../data/synthetic/polytime_cost/all_k/random_split_100_6_k60.txt 45.0 1310
../data/synthetic/polytime_cost/all_k/random_split_50_2_k100.txt 54.0 512
../data/synthetic/polytime_cost/all_k/random_split_50_2_k55.txt 29.0 388
../data/synthetic/polytime_cost/all_k/random_split_100_7_k95.txt 65.0 1275
../data/synthetic/polytime_cost/all_k/random_split_25_3_k25.txt 10.0 107
../data/synthetic/polytime_cost/all_k/random_split_25_7_k65.txt 36.0 134
../data/synthetic/polytime_cost/all_k/random_split_100_1_k25.txt 16.0 1348
../data/synthetic/polytime_cost/all_k/random_split_25_5_k55.txt 31.0 112
../data/synthetic/polytime_cost/all_k/random_split_100_3_k95.txt 48.0 1247
../data/synthetic/polytime_cost/all_k/random_split_75_3_k70.txt 31.0 881
../data/synthetic/polytime_cost/all_k/random_split_75_8_k40.txt 27.0 1041
../data/synthetic/polytime_cost/all_k/random_split_75_6_k100.txt 71.0 1011
../data/synthetic/polytime_cost/all_k/random_split_50_3_k25.txt 12.0 575
../data/synthetic/polytime_cost/all_k/random_split_25_5_k25.txt 19.0 115
../data/synthetic/polytime_cost/all_k/random_split_100_1_k75.txt 34.0 1311
../data/synthetic/polytime_cost/all_k/random_split_25_6_k60.txt 33.0 119
../data/synthetic/polytime_cost/all_k/random_split_75_7_k65.txt 43.0 1163
../data/synthetic/polytime_cost/all_k/random_split_25_6_k45.txt 25.0 101
../data/synthetic/polytime_cost/all_k/random_split_50_3_k55.txt 33.0 499
../data/synthetic/polytime_cost/all_k/random_split_25_8_k40.txt 28.0 114
../data/synthetic/polytime_cost/all_k/random_split_100_7_k25.txt 18.0 1219
../data/synthetic/polytime_cost/all_k/random_split_50_5_k55.txt 42.0 537
../data/synthetic/polytime_cost/all_k/random_split_50_5_k100.txt 56.0 399
../data/synthetic/polytime_cost/all_k/random_split_25_1_k45.txt 15.0 102
../data/synthetic/polytime_cost/all_k/random_split_50_1_k70.txt 41.0 348
../data/synthetic/polytime_cost/all_k/random_split_25_1_k20.txt 14.0 127
../data/synthetic/polytime_cost/all_k/random_split_100_5_k5.txt 2.0 1053
../data/synthetic/polytime_cost/all_k/random_split_50_3_k60.txt 29.0 582
../data/synthetic/polytime_cost/all_k/random_split_100_1_k50.txt 24.0 1330
../data/synthetic/polytime_cost/all_k/random_split_50_5_k35.txt 24.0 364
../data/synthetic/polytime_cost/all_k/random_split_50_8_k100.txt 47.0 533
../data/synthetic/polytime_cost/all_k/random_split_100_8_k100.txt 62.0 1391
../data/synthetic/polytime_cost/all_k/random_split_75_3_k10.txt 7.0 999
../data/synthetic/polytime_cost/all_k/random_split_100_2_k25.txt 16.0 1184
../data/synthetic/polytime_cost/all_k/random_split_25_4_k45.txt 19.0 106
../data/synthetic/polytime_cost/all_k/random_split_75_6_k5.txt 3.0 1089
../data/synthetic/polytime_cost/all_k/random_split_75_5_k50.txt 36.0 1032
../data/synthetic/polytime_cost/all_k/random_split_75_6_k90.txt 65.0 791
../data/synthetic/polytime_cost/all_k/random_split_75_6_k50.txt 43.0 1198
../data/synthetic/polytime_cost/all_k/random_split_50_7_k100.txt 50.0 590
../data/synthetic/polytime_cost/all_k/random_split_100_5_k95.txt 56.0 1064
../data/synthetic/polytime_cost/all_k/random_split_50_8_k55.txt 38.0 439
../data/synthetic/polytime_cost/all_k/random_split_75_7_k40.txt 34.0 1140
../data/synthetic/polytime_cost/all_k/random_split_100_8_k20.txt 14.0 1682
../data/synthetic/polytime_cost/all_k/random_split_100_4_k45.txt 23.0 1648
../data/synthetic/polytime_cost/all_k/random_split_75_8_k70.txt 43.0 1112
../data/synthetic/polytime_cost/all_k/random_split_50_4_k55.txt 25.0 363
../data/synthetic/polytime_cost/all_k/random_split_25_2_k55.txt 21.0 101
../data/synthetic/polytime_cost/all_k/random_split_100_4_k85.txt 59.0 1665
../data/synthetic/polytime_cost/all_k/random_split_100_2_k20.txt 15.0 1458
../data/synthetic/polytime_cost/all_k/random_split_25_7_k15.txt 12.0 119
../data/synthetic/polytime_cost/all_k/random_split_50_8_k40.txt 30.0 419
../data/synthetic/polytime_cost/all_k/random_split_50_1_k65.txt 34.0 437
../data/synthetic/polytime_cost/all_k/random_split_50_7_k25.txt 15.0 497
../data/synthetic/polytime_cost/all_k/random_split_25_6_k95.txt 47.0 213
../data/synthetic/polytime_cost/all_k/random_split_75_6_k15.txt 11.0 1183
../data/synthetic/polytime_cost/all_k/random_split_100_4_k30.txt 15.0 1175
../data/synthetic/polytime_cost/all_k/random_split_75_5_k5.txt 5.0 1122
../data/synthetic/polytime_cost/all_k/random_split_75_4_k20.txt 9.0 1140
../data/synthetic/polytime_cost/all_k/random_split_25_5_k90.txt 36.0 105
../data/synthetic/polytime_cost/all_k/random_split_100_3_k30.txt 18.0 1426
../data/synthetic/polytime_cost/all_k/random_split_75_6_k70.txt 47.0 1069
../data/synthetic/polytime_cost/all_k/random_split_50_5_k20.txt 12.0 370
../data/synthetic/polytime_cost/all_k/random_split_25_5_k35.txt 17.0 106
../data/synthetic/polytime_cost/all_k/random_split_100_3_k10.txt 8.0 1223
../data/synthetic/polytime_cost/all_k/random_split_25_5_k75.txt 32.0 118
../data/synthetic/polytime_cost/all_k/random_split_75_3_k60.txt 24.0 1071
../data/synthetic/polytime_cost/all_k/random_split_50_6_k45.txt 31.0 470
../data/synthetic/polytime_cost/all_k/random_split_100_4_k80.txt 47.0 1379
../data/synthetic/polytime_cost/all_k/random_split_50_3_k35.txt 23.0 575
../data/synthetic/polytime_cost/all_k/random_split_50_1_k75.txt 38.0 500
../data/synthetic/polytime_cost/all_k/random_split_75_6_k60.txt 36.0 849
../data/synthetic/polytime_cost/all_k/random_split_25_6_k20.txt 13.0 109
../data/synthetic/polytime_cost/all_k/random_split_100_1_k15.txt 9.0 1223
../data/synthetic/polytime_cost/all_k/random_split_75_8_k85.txt 46.0 980
../data/synthetic/polytime_cost/all_k/random_split_75_4_k65.txt 45.0 881
../data/synthetic/polytime_cost/all_k/random_split_100_5_k30.txt 23.0 1095
../data/synthetic/polytime_cost/all_k/random_split_100_8_k65.txt 43.0 1591
../data/synthetic/polytime_cost/all_k/random_split_100_6_k95.txt 61.0 1579
../data/synthetic/polytime_cost/all_k/random_split_25_3_k45.txt 20.0 127
../data/synthetic/polytime_cost/all_k/random_split_50_8_k45.txt 24.0 423
../data/synthetic/polytime_cost/all_k/random_split_75_7_k70.txt 47.0 1198
../data/synthetic/polytime_cost/all_k/random_split_50_2_k65.txt 39.0 488
../data/synthetic/polytime_cost/all_k/random_split_100_1_k35.txt 19.0 1363
../data/synthetic/polytime_cost/all_k/random_split_100_3_k40.txt 20.0 1622
../data/synthetic/polytime_cost/all_k/random_split_100_2_k50.txt 33.0 1587
../data/synthetic/polytime_cost/all_k/random_split_75_4_k50.txt 22.0 828
../data/synthetic/polytime_cost/all_k/random_split_50_7_k30.txt 18.0 459
../data/synthetic/polytime_cost/all_k/random_split_50_8_k85.txt 59.0 447
../data/synthetic/polytime_cost/all_k/random_split_100_8_k50.txt 35.0 1350
../data/synthetic/polytime_cost/all_k/random_split_75_4_k10.txt 7.0 1224
../data/synthetic/polytime_cost/all_k/random_split_25_4_k15.txt 12.0 81
../data/synthetic/polytime_cost/all_k/random_split_25_2_k60.txt 22.0 116
../data/synthetic/polytime_cost/all_k/random_split_25_7_k20.txt 14.0 116
../data/synthetic/polytime_cost/all_k/random_split_50_8_k10.txt 8.0 428
../data/synthetic/polytime_cost/all_k/random_split_50_7_k55.txt 31.0 477
../data/synthetic/polytime_cost/all_k/random_split_75_3_k5.txt 3.0 954
../data/synthetic/polytime_cost/all_k/random_split_25_8_k25.txt 11.0 123
../data/synthetic/polytime_cost/all_k/random_split_50_7_k75.txt 52.0 534
../data/synthetic/polytime_cost/all_k/random_split_25_6_k40.txt 17.0 69
../data/synthetic/polytime_cost/all_k/random_split_75_2_k50.txt 26.0 1021
../data/synthetic/polytime_cost/all_k/random_split_25_5_k5.txt 4.0 105
../data/synthetic/polytime_cost/all_k/random_split_25_1_k95.txt 36.0 174
../data/synthetic/polytime_cost/all_k/random_split_75_4_k30.txt 15.0 1084
../data/synthetic/polytime_cost/all_k/random_split_75_2_k80.txt 50.0 786
../data/synthetic/polytime_cost/all_k/random_split_50_4_k5.txt 2.0 259
../data/synthetic/polytime_cost/all_k/random_split_25_7_k55.txt 20.0 121
../data/synthetic/polytime_cost/all_k/random_split_50_6_k20.txt 15.0 467
../data/synthetic/polytime_cost/all_k/random_split_25_2_k70.txt 19.0 115
../data/synthetic/polytime_cost/all_k/random_split_25_3_k65.txt 30.0 136
../data/synthetic/polytime_cost/all_k/random_split_50_4_k45.txt 29.0 376
../data/synthetic/polytime_cost/all_k/random_split_100_5_k70.txt 43.0 1308
../data/synthetic/polytime_cost/all_k/random_split_25_4_k5.txt 5.0 115
../data/synthetic/polytime_cost/all_k/random_split_75_3_k15.txt 8.0 1244
../data/synthetic/polytime_cost/all_k/random_split_100_3_k65.txt 36.0 1024
../data/synthetic/polytime_cost/all_k/random_split_25_3_k70.txt 26.0 136
../data/synthetic/polytime_cost/all_k/random_split_75_1_k65.txt 48.0 750
../data/synthetic/polytime_cost/all_k/random_split_100_5_k60.txt 33.0 1549
../data/synthetic/polytime_cost/all_k/random_split_100_6_k80.txt 58.0 1257
../data/synthetic/polytime_cost/all_k/random_split_25_1_k55.txt 24.0 108
../data/synthetic/polytime_cost/all_k/random_split_50_2_k80.txt 43.0 540
../data/synthetic/polytime_cost/all_k/random_split_100_3_k85.txt 53.0 1106
../data/synthetic/polytime_cost/all_k/random_split_50_5_k65.txt 46.0 353
../data/synthetic/polytime_cost/all_k/random_split_100_8_k90.txt 61.0 1419
../data/synthetic/polytime_cost/all_k/random_split_50_5_k5.txt 5.0 479
../data/synthetic/polytime_cost/all_k/random_split_50_5_k90.txt 54.0 445
../data/synthetic/polytime_cost/all_k/random_split_25_2_k65.txt 22.0 89
../data/synthetic/polytime_cost/all_k/random_split_75_3_k35.txt 22.0 820
../data/synthetic/polytime_cost/all_k/random_split_100_5_k50.txt 34.0 1152
../data/synthetic/polytime_cost/all_k/random_split_75_5_k40.txt 29.0 831
../data/synthetic/polytime_cost/all_k/random_split_100_6_k15.txt 9.0 1237
../data/synthetic/polytime_cost/all_k/random_split_50_8_k20.txt 15.0 357
../data/synthetic/polytime_cost/all_k/random_split_100_6_k40.txt 28.0 1090
../data/synthetic/polytime_cost/all_k/random_split_50_6_k55.txt 30.0 471
../data/synthetic/polytime_cost/all_k/random_split_100_6_k35.txt 22.0 1607
../data/synthetic/polytime_cost/all_k/random_split_100_6_k25.txt 18.0 1526
../data/synthetic/polytime_cost/all_k/random_split_25_1_k85.txt 32.0 84
../data/synthetic/polytime_cost/all_k/random_split_100_7_k35.txt 21.0 1333
../data/synthetic/polytime_cost/all_k/random_split_50_5_k75.txt 55.0 531
../data/synthetic/polytime_cost/all_k/random_split_75_3_k65.txt 24.0 923
../data/synthetic/polytime_cost/all_k/random_split_25_8_k30.txt 20.0 112
../data/synthetic/polytime_cost/all_k/random_split_100_6_k45.txt 30.0 1238
../data/synthetic/polytime_cost/all_k/random_split_50_8_k75.txt 45.0 306
../data/synthetic/polytime_cost/all_k/random_split_50_8_k95.txt 57.0 506
../data/synthetic/polytime_cost/all_k/random_split_100_4_k5.txt 3.0 1309
../data/synthetic/polytime_cost/all_k/random_split_50_1_k45.txt 34.0 375
../data/synthetic/polytime_cost/all_k/random_split_75_6_k95.txt 67.0 1104
../data/synthetic/polytime_cost/all_k/random_split_50_4_k95.txt 46.0 392
../data/synthetic/polytime_cost/all_k/random_split_25_2_k80.txt 25.0 121
../data/synthetic/polytime_cost/all_k/random_split_25_2_k100.txt 32.0 119
../data/synthetic/polytime_cost/all_k/random_split_100_1_k65.txt 35.0 1279
../data/synthetic/polytime_cost/all_k/random_split_25_1_k40.txt 13.0 124
../data/synthetic/polytime_cost/all_k/random_split_50_6_k50.txt 28.0 412
../data/synthetic/polytime_cost/all_k/random_split_75_2_k100.txt 51.0 873
../data/synthetic/polytime_cost/all_k/random_split_75_6_k10.txt 7.0 1127
../data/synthetic/polytime_cost/all_k/random_split_25_8_k80.txt 46.0 112
../data/synthetic/polytime_cost/all_k/random_split_75_8_k75.txt 58.0 1020
../data/synthetic/polytime_cost/all_k/random_split_50_8_k35.txt 22.0 403
../data/synthetic/polytime_cost/all_k/random_split_100_5_k20.txt 14.0 1025
../data/synthetic/polytime_cost/all_k/random_split_100_8_k25.txt 22.0 1422
../data/synthetic/polytime_cost/all_k/random_split_75_2_k30.txt 22.0 784
../data/synthetic/polytime_cost/all_k/random_split_25_5_k20.txt 13.0 116
../data/synthetic/polytime_cost/all_k/random_split_25_4_k10.txt 6.0 97
../data/synthetic/polytime_cost/all_k/random_split_75_1_k80.txt 47.0 872
../data/synthetic/polytime_cost/all_k/random_split_75_5_k60.txt 38.0 1119
../data/synthetic/polytime_cost/all_k/random_split_50_6_k30.txt 22.0 485
../data/synthetic/polytime_cost/all_k/random_split_50_5_k80.txt 52.0 469
../data/synthetic/polytime_cost/all_k/random_split_25_4_k25.txt 11.0 117
../data/synthetic/polytime_cost/all_k/random_split_75_1_k100.txt 59.0 814
../data/synthetic/polytime_cost/all_k/random_split_75_6_k40.txt 29.0 1065
../data/synthetic/polytime_cost/all_k/random_split_75_3_k55.txt 25.0 1085
../data/synthetic/polytime_cost/all_k/random_split_50_2_k60.txt 19.0 405
../data/synthetic/polytime_cost/all_k/random_split_50_7_k15.txt 9.0 500
../data/synthetic/polytime_cost/all_k/random_split_25_1_k50.txt 24.0 76
../data/synthetic/polytime_cost/all_k/random_split_50_4_k75.txt 38.0 413
../data/synthetic/polytime_cost/all_k/random_split_75_7_k95.txt 70.0 1151
../data/synthetic/polytime_cost/all_k/random_split_100_5_k100.txt 69.0 1246
../data/synthetic/polytime_cost/all_k/random_split_50_5_k15.txt 15.0 490
../data/synthetic/polytime_cost/all_k/random_split_50_3_k50.txt 30.0 515
../data/synthetic/polytime_cost/all_k/random_split_50_5_k40.txt 29.0 515
../data/synthetic/polytime_cost/all_k/random_split_100_7_k55.txt 43.0 1328
../data/synthetic/polytime_cost/all_k/random_split_75_7_k15.txt 12.0 1026
../data/synthetic/polytime_cost/all_k/random_split_100_1_k85.txt 43.0 1351
../data/synthetic/polytime_cost/all_k/random_split_100_3_k20.txt 10.0 1349
../data/synthetic/polytime_cost/all_k/random_split_50_4_k60.txt 33.0 534
../data/synthetic/polytime_cost/all_k/random_split_75_1_k95.txt 68.0 958
../data/synthetic/polytime_cost/all_k/random_split_100_6_k70.txt 42.0 1282
../data/synthetic/polytime_cost/all_k/random_split_100_8_k85.txt 56.0 1393
../data/synthetic/polytime_cost/all_k/random_split_100_2_k95.txt 50.0 1403
../data/synthetic/polytime_cost/all_k/random_split_100_3_k70.txt 35.0 1402
../data/synthetic/polytime_cost/all_k/random_split_50_1_k100.txt 45.0 483
../data/synthetic/polytime_cost/all_k/random_split_75_1_k60.txt 40.0 962
../data/synthetic/polytime_cost/all_k/random_split_75_7_k10.txt 7.0 1183
../data/synthetic/polytime_cost/all_k/random_split_25_3_k20.txt 9.0 112
../data/synthetic/polytime_cost/all_k/random_split_75_5_k90.txt 62.0 1016
../data/synthetic/polytime_cost/all_k/random_split_100_4_k95.txt 40.0 1272
../data/synthetic/polytime_cost/all_k/random_split_25_7_k80.txt 46.0 100
../data/synthetic/polytime_cost/all_k/random_split_75_7_k20.txt 12.0 873
../data/synthetic/polytime_cost/all_k/random_split_50_4_k30.txt 22.0 319
../data/synthetic/polytime_cost/all_k/random_split_25_4_k80.txt 34.0 90
../data/synthetic/polytime_cost/all_k/random_split_50_2_k35.txt 20.0 434
../data/synthetic/polytime_cost/all_k/random_split_25_8_k75.txt 36.0 104
../data/synthetic/polytime_cost/all_k/random_split_100_5_k45.txt 32.0 1295
../data/synthetic/polytime_cost/all_k/random_split_25_3_k50.txt 21.0 101
../data/synthetic/polytime_cost/all_k/random_split_50_1_k35.txt 24.0 516
../data/synthetic/polytime_cost/all_k/random_split_100_2_k60.txt 31.0 1237
../data/synthetic/polytime_cost/all_k/random_split_50_4_k90.txt 49.0 418
../data/synthetic/polytime_cost/all_k/random_split_50_6_k35.txt 28.0 384
../data/synthetic/polytime_cost/all_k/random_split_100_3_k50.txt 29.0 1695
../data/synthetic/polytime_cost/all_k/random_split_100_8_k30.txt 20.0 1419
../data/synthetic/polytime_cost/all_k/random_split_75_4_k5.txt 2.0 844
../data/synthetic/polytime_cost/all_k/random_split_75_2_k55.txt 37.0 873
../data/synthetic/polytime_cost/all_k/random_split_50_2_k85.txt 44.0 523
../data/synthetic/polytime_cost/all_k/random_split_100_5_k65.txt 47.0 1269
../data/synthetic/polytime_cost/all_k/random_split_25_5_k60.txt 29.0 90
../data/synthetic/polytime_cost/all_k/random_split_75_2_k90.txt 37.0 916
../data/synthetic/polytime_cost/all_k/random_split_75_8_k95.txt 63.0 1111
../data/synthetic/polytime_cost/all_k/random_split_75_2_k40.txt 22.0 1189
../data/synthetic/polytime_cost/all_k/random_split_100_5_k15.txt 13.0 1242
../data/synthetic/polytime_cost/all_k/random_split_50_2_k50.txt 18.0 303
../data/synthetic/polytime_cost/all_k/random_split_25_4_k20.txt 6.0 108
../data/synthetic/polytime_cost/all_k/random_split_50_4_k65.txt 37.0 489
../data/synthetic/polytime_cost/all_k/random_split_75_1_k5.txt 4.0 940
../data/synthetic/polytime_cost/all_k/random_split_75_5_k65.txt 42.0 1192
../data/synthetic/polytime_cost/all_k/random_split_100_2_k90.txt 42.0 1199
../data/synthetic/polytime_cost/all_k/random_split_25_7_k60.txt 20.0 108
../data/synthetic/polytime_cost/all_k/random_split_100_2_k65.txt 34.0 1259
../data/synthetic/polytime_cost/all_k/random_split_100_6_k75.txt 48.0 1340
../data/synthetic/polytime_cost/all_k/random_split_75_3_k90.txt 39.0 1159
../data/synthetic/polytime_cost/all_k/random_split_25_3_k40.txt 25.0 114
../data/synthetic/polytime_cost/all_k/random_split_25_3_k90.txt 35.0 145
../data/synthetic/polytime_cost/all_k/random_split_100_7_k30.txt 24.0 1358
../data/synthetic/polytime_cost/all_k/random_split_25_8_k100.txt 49.0 139
../data/synthetic/polytime_cost/all_k/random_split_50_2_k45.txt 21.0 494
../data/synthetic/polytime_cost/all_k/random_split_75_8_k20.txt 11.0 992
../data/synthetic/polytime_cost/all_k/random_split_100_3_k90.txt 47.0 1089
../data/synthetic/polytime_cost/all_k/random_split_75_5_k85.txt 61.0 1102
../data/synthetic/polytime_cost/all_k/random_split_75_1_k75.txt 51.0 825
../data/synthetic/polytime_cost/all_k/random_split_75_2_k20.txt 13.0 863
